Subject,Session,Axis,Run,Plate,S,rxy
P0003,20231024194752,axi,1,1,-1.0321961835979891,0.016000049188733052
P0003,20231024194752,axi,1,2,-1.0488362521147916,0.015490159844781602
P0003,20231024194752,axi,2,0,-1.048068247392666,-0.032503941969377816
P0003,20231024194752,axi,2,1,-1.0321961835979891,0.016000049188733052
P0003,20231024194752,axi,2,2,-1.0488362521147916,0.015490159844781602
P0003,20231030143250,sag,,0,-0.956346050643239,-6.65580235391719e-05
P0003,20231030143250,cor,,0,-0.9965575766991303,-0.0034331535504642883
P0003,20231030143250,axi,1,0,-1.0468820792060238,-0.027789176546852257
P0003,20231030143250,axi,1,1,-1.0235326856521778,0.01943491034107906
P0003,20231030143250,axi,1,2,-1.0562824059438423,0.017826152187264778
P0003,20231030143250,axi,2,0,-1.0469782347743042,-0.029456694813053477
P0003,20231030143250,axi,2,1,-1.0235326856521778,0.01943491034107906
P0003,20231030143250,axi,2,2,-1.055294911858575,0.011852570819846187
P0003,20231031150517,sag,,0,-0.9600167856616292,0.0026947781212054746
P0003,20231031150517,cor,,0,-0.9977353403408777,-0.009599625018666774
P0003,20231031150517,axi,1,0,-1.0458739590664883,-0.028576970660871753
P0003,20231031150517,axi,1,1,-1.022033785240267,0.015356480805992473
P0003,20231031150517,axi,1,2,-1.0595251249170772,0.026658756353671903
P0003,20231031150517,axi,2,0,-1.0380659831896715,-0.026518281867432075
P0003,20231031150517,axi,2,1,-1.0235326856521778,0.01943491034107906
P0003,20231031150517,axi,2,2,-1.0584127833000143,0.016236762476351644
P0003,20231101144234,sag,,0,-0.9558131091432466,0.0015686458948034644
P0003,20231101144234,cor,,0,-0.996713026840015,-0.004195130731890359
P0003,20231101144234,axi,1,0,-1.0438260065356424,-0.026427590065062165
P0003,20231101144234,axi,1,1,-1.0235326856521778,0.01943491034107906
P0003,20231101144234,axi,1,2,-1.0580554345046829,0.013011676001717466
P0003,20231101144234,axi,2,0,-1.0437345774131253,-0.02861839175137551
P0003,20231101144234,axi,2,1,-1.0272678727045552,0.02324947224760893
P0003,20231101144234,axi,2,2,-1.0573069479374204,0.019756471698575584
P0003,20231102152114,sag,,0,-0.9594334578187768,0.005899154844559176
P0003,20231102152114,cor,,0,-1.0019739087444313,-0.013983868616154579
P0003,20231102152114,axi,1,0,-1.0371296462706272,-0.03901418966089562
P0003,20231102152114,axi,1,1,-1.0329980651064399,0.020641288802244334
P0003,20231102152114,axi,1,2,-1.057978020997975,0.019887834640405333
P0003,20231102152114,axi,2,0,-1.0512043207214443,-0.03221987932446978
P0003,20231102152114,axi,2,1,-1.0312478174185513,0.014764754922235038
P0003,20231102152114,axi,2,2,-1.0618894781585155,0.02754742177464723
P0003,20231106164746,sag,,0,-0.9616922188017424,0.0026886039872285918
P0003,20231106164746,cor,,0,-1.0024490477642638,-0.00801433723091496
P0003,20231106164746,axi,1,0,-1.0463216541965525,-0.027489508247753147
P0003,20231106164746,axi,1,1,-1.0343533568644252,0.011029956436446144
P0003,20231106164746,axi,1,2,-1.0450495797687,0.025788603951837907
P0003,20231106164746,axi,2,0,-1.0518905763721376,-0.030033388365157773
P0003,20231106164746,axi,2,1,-1.0367818679248983,-0.009053569563320887
P0003,20231106164746,axi,2,2,-1.0545867284264125,0.03503903060432872
P0003,20240226191914,sag,,0,-0.9553749349069666,0.0038729600702140238
P0003,20240226191914,cor,,0,-1.000451903934276,-0.00509001000820038
P0003,20240226191914,axi,1,0,-1.0485162697730543,-0.03485725072205191
P0003,20240226191914,axi,1,1,-1.0393378124953654,0.01255989064602992
P0003,20240226191914,axi,1,2,-1.0576487714952447,0.018561967051270098
P0003,20240226191914,axi,2,0,-1.0485162697730543,-0.03485725072205191
P0003,20240226191914,axi,2,1,-1.0364363002999757,0.023847100858198446
P0003,20240226191914,axi,2,2,-1.0549790708077658,0.026522979225532844
P0003,20240227143405,sag,,0,-0.9614876319358948,-0.001817348839269168
P0003,20240227143405,cor,,0,-1.0001709721931533,-0.006650488376385148
P0003,20240227143405,axi,1,0,-1.0475827218145568,-0.03337941316841164
P0003,20240227143405,axi,1,1,-1.0333541471816177,0.015591365497986127
P0003,20240227143405,axi,1,2,-1.0533875129877563,0.027067352165672992
P0003,20240227143405,axi,2,0,-1.0475827218145568,-0.03337941316841164
P0003,20240227143405,axi,2,1,-1.037759634139727,0.022591234693227186
P0003,20240227143405,axi,2,2,-1.0516005673229205,0.022032825737292774
P0003,20240228144738,sag,,0,-0.9610720344793855,0.0010693472656502431
P0003,20240228144738,cor,,0,-0.9970305594250533,-0.005588498640521855
P0003,20240228144738,axi,1,0,-1.0485162697730543,-0.03485725072205191
P0003,20240228144738,axi,1,1,-1.0353673326028547,0.003658997170863898
P0003,20240228144738,axi,1,2,-1.050014654952224,0.023683239540308418
P0003,20240228144738,axi,2,0,-1.0483242489673974,-0.037714399378507
P0003,20240228144738,axi,2,1,-1.0312079713942859,0.017331269473121413
P0003,20240228144738,axi,2,2,-1.0543637148786826,0.02543195256556228
P0004,20230629100751,sag,,0,-0.978945986435655,0.010322029433560618
P0004,20230629100751,cor,,0,-1.0105194648260394,-4.962286933383484e-13
P0004,20230629100751,axi,1,0,-1.0158121171916719,-0.032000098377465924
P0004,20230629100751,axi,1,1,-1.0163241198033126,3.469446951953614e-18
P0004,20230629100751,axi,1,2,-1.0321961836004467,0.016251970831107677
P0004,20230629100751,axi,2,0,-1.0158121171916719,-0.032000098377465924
P0004,20230629100751,axi,2,1,-1.0163241198033126,3.469446951953614e-18
P0004,20230629100751,axi,2,2,-1.0257850377937745,0.012088083315188397
P0004,20230705075534,sag,,0,-0.9792139160924496,-0.00032308422393606887
P0004,20230705075534,cor,,0,-1.009938714713505,0.000764889551898745
P0004,20230705075534,axi,1,0,-1.0158121171916719,-0.032000098377465924
P0004,20230705075534,axi,1,1,-1.0163241198033126,3.469446951953614e-18
P0004,20230705075534,axi,1,2,-1.0321961836004467,0.016251970831107677
P0004,20230705075534,axi,2,0,-1.0211093277124637,-0.02378202310534276
P0004,20230705075534,axi,2,1,-1.0215904870899084,0.0050344494549281835
P0004,20230705075534,axi,2,2,-1.0270222229184152,0.012895742545216839
P0004,20230706122347,sag,,0,-0.9839410316094307,0.008358937986829544
P0004,20230706122347,cor,,0,-1.0078939686881856,-0.00041355999339936535
P0004,20230706122347,axi,1,0,-1.000452055889426,-0.015739934837917947
P0004,20230706122347,axi,1,1,-1.0117715084603645,0.00948228855523334
P0004,20230706122347,axi,1,2,-1.0167272433628525,0.029232135901197803
P0004,20230706122347,axi,2,0,-1.0092019136234944,-0.02854720015541401
P0004,20230706122347,axi,2,1,-1.0084163618603978,0.007346422961067144
P0004,20230706122347,axi,2,2,-1.0182985816628816,0.023226187112222556
P0004,20230710092716,sag,,0,-0.9817939267112091,0.0023410254904249056
P0004,20230710092716,cor,,0,-1.0148872702715717,0.004534351031899766
P0004,20230710092716,axi,1,0,-1.0208183529230155,-0.032000098377466105
P0004,20230710092716,axi,1,1,-1.013173356172974,-0.00303711380755662
P0004,20230710092716,axi,1,2,-1.0316949185703512,0.019226661306791584
P0004,20230710092716,axi,2,0,-1.0161534497254456,-0.030777021067151966
P0004,20230710092716,axi,2,1,-1.011057752486914,-0.0050868965772110294
P0004,20230710092716,axi,2,2,-1.0355467115878993,0.014522605646826628
P0004,20230717150819,sag,,0,-0.977419825069931,0.008746733422639964
P0004,20230717150819,cor,,0,-1.011501061749314,0.002413398645061459
P0004,20230717150819,axi,1,0,-1.019240702348484,-0.021290251759438807
P0004,20230717150819,axi,1,1,-1.0109663233522632,-0.010830660073626444
P0004,20230717150819,axi,1,2,-1.0204342643551134,0.01957783137808102
P0004,20230717150819,axi,2,0,-1.0234289222149395,-0.01356002694507294
P0004,20230717150819,axi,2,1,-1.0109663233522632,-0.010830660073626444
P0004,20230717150819,axi,2,2,-1.0242437897465728,0.015276669519647578
P0004,20230814132223,sag,,0,-0.9750670256514431,0.003776947310425223
P0004,20230814132223,cor,,0,-1.0101531840642095,0.0034959368524756784
P0004,20230814132223,axi,1,0,-1.0065919506553291,-0.027359324435893187
P0004,20230814132223,axi,1,1,-1.0224491374711333,0.009329637570686944
P0004,20230814132223,axi,1,2,-1.0321961835999485,0.014511058826307823
P0004,20230814132223,axi,2,0,-1.0111614724201203,-0.02356689814123182
P0004,20230814132223,axi,2,1,-1.0143063350693917,0.004599846901625588
P0004,20230814132223,axi,2,2,-1.031051283817424,0.020790605924725376
P0004,20230821081945,sag,,0,-0.9733480819700229,0.004604998417810067
P0004,20230821081945,cor,,0,-1.0121204452620687,-2.4567299124460956e-05
P0004,20230821081945,axi,1,0,-1.0107104413564063,-0.02685722334715126
P0004,20230821081945,axi,1,1,-1.0163241198033126,3.469446951953614e-18
P0004,20230821081945,axi,1,2,-1.029059779045724,0.014554680045015218
P0004,20230821081945,axi,2,0,-1.0156750372038201,-0.02752392923057661
P0004,20230821081945,axi,2,1,-1.0168361298238253,0.0016082688331223657
P0004,20230821081945,axi,2,2,-1.018687246087539,0.0103272172026455
P0004,20230823104750,sag,,0,-0.9785626923610086,0.008734692886366809
P0004,20230823104750,cor,,0,-1.0096988409204761,0.0032764588592983047
P0004,20230823104750,axi,1,0,-1.023253522050572,-0.018978543333027106
P0004,20230823104750,axi,1,1,-1.0052650761533275,-0.0005655373287276177
P0004,20230823104750,axi,1,2,-1.0092142503899848,0.008755676643950324
P0004,20230823104750,axi,2,0,-1.0225178979488228,-0.020794972939594134
P0004,20230823104750,axi,2,1,-1.001897907216624,-0.0007288555212106532
P0004,20230823104750,axi,2,2,-1.015806734618155,0.015630602698148137
P0004,20230824084610,sag,,0,-0.9748046886751813,0.0009172453669715336
P0004,20230824084610,cor,,0,-1.0115623465388388,0.0077894622127183104
P0004,20230824084610,axi,1,0,-1.0137641622968288,-0.02993557415639142
P0004,20230824084610,axi,1,1,-1.0078013486745356,-0.008268124806245235
P0004,20230824084610,axi,1,2,-1.0300068533832352,0.023877785714091812
P0004,20230824084610,axi,2,0,-1.0137641622968288,-0.02993557415639142
P0004,20230824084610,axi,2,1,-1.00786479085915,-0.00776954604772712
P0004,20230824084610,axi,2,2,-1.0347562612321997,0.020838386139447967
P0004,20230825102439,sag,,0,-0.9738260148177987,0.005102727184831039
P0004,20230825102439,cor,,0,-1.0133201149577562,-0.0006532289759096453
P0004,20230825102439,axi,1,0,-1.015141265117298,-0.02585756594974372
P0004,20230825102439,axi,1,1,-1.0125706205369684,-0.011374133013212832
P0004,20230825102439,axi,1,2,-1.033726582208059,0.011369185032574038
P0004,20230825102439,axi,2,0,-1.013702226434279,-0.02159648857890069
P0004,20230825102439,axi,2,1,-1.0112336188777307,-0.007960507350642854
P0004,20230825102439,axi,2,2,-1.0266495349638731,0.021446570674023765
P0004,20230828083112,sag,,0,-0.9762969690855866,0.007612717950649622
P0004,20230828083112,cor,,0,-1.0105194648260394,-4.962286933383484e-13
P0004,20230828083112,axi,1,0,-1.018913649343162,-0.01916632465794154
P0004,20230828083112,axi,1,1,-1.0079165818518652,-0.0028461242772935807
P0004,20230828083112,axi,1,2,-1.0274912568513268,0.016812688142155058
P0004,20230828083112,axi,2,0,-1.0158121171916719,-0.01600004918873299
P0004,20230828083112,axi,2,1,-1.0144131944486159,-0.011420700770422874
P0004,20230828083112,axi,2,2,-1.020741171575056,0.01958270400969244
P0004,20230830085431,sag,,0,-0.9828253722613546,-0.0002000795629513094
P0004,20230830085431,cor,,0,-1.010550555034143,0.005798402810992063
P0004,20230830085431,axi,1,0,-1.0158121171916719,-0.01600004918873299
P0004,20230830085431,axi,1,1,-1.014604221927582,-0.005508707407695752
P0004,20230830085431,axi,1,2,-1.0210327096872454,0.01893407769982236
P0004,20230830085431,axi,2,0,-1.020609729981303,-0.01965272961615406
P0004,20230830085431,axi,2,1,-1.0037195538517285,-0.01393552590853206
P0004,20230830085431,axi,2,2,-1.0281483286530437,0.01592971277493739
P0004,20230831083846,sag,,0,-0.9809955226079703,0.0016910013533949428
P0004,20230831083846,cor,,0,-1.011457408944843,0.006935706089137566
P0004,20230831083846,axi,1,0,-1.0304406868767506,-0.016000049161220407
P0004,20230831083846,axi,1,1,-1.0108840371366279,0.005169178665152915
P0004,20230831083846,axi,1,2,-1.0301238346842854,0.023754029769045712
P0004,20230831083846,axi,2,0,-1.0256776507320913,-0.020156658690200613
P0004,20230831083846,axi,2,1,-1.0108840371364969,0.005169178690612069
P0004,20230831083846,axi,2,2,-1.0344204854179189,0.023365518556016797
P0004,20230901085403,sag,,0,-0.9761090789017596,0.009336547871847511
P0004,20230901085403,cor,,0,-1.0136439997216546,-0.0016760125791952553
P0004,20230901085403,axi,1,0,-1.0085439847961655,-0.010202677139577142
P0004,20230901085403,axi,1,1,-1.0151002175896242,0.008508474417881506
P0004,20230901085403,axi,1,2,-1.0270963471292194,0.011264670873997648
P0004,20230901085403,axi,2,0,-1.0058194815237185,-0.016032107998076126
P0004,20230901085403,axi,2,1,-1.0222852872112422,0.017525227683684846
P0004,20230901085403,axi,2,2,-1.0189886928278367,0.014719235597743944
P0004,20240115085627,sag,,0,-0.9755076058335358,0.004218084302559259
P0004,20240115085627,cor,,0,-1.007924952849539,0.001888871719613796
P0004,20240115085627,axi,1,0,-1.0199412153500913,0.000645104868060617
P0004,20240115085627,axi,1,1,-1.0089623790393272,0.001273720137402512
P0004,20240115085627,axi,1,2,-1.015021236484101,0.020993450315116777
P0004,20240115085627,axi,2,0,-1.023416393510054,-0.007504860623617493
P0004,20240115085627,axi,2,1,-1.0145634348377228,0.0013962382565702591
P0004,20240115085627,axi,2,2,-1.0237586035275856,0.015963656106460403
P0004,20240117095633,sag,,0,-0.9816770914031778,0.008533211451452178
P0004,20240117095633,cor,,0,-1.0125374920106958,0.003640333856910337
P0004,20240117095633,axi,1,0,-1.015842859465774,-0.02532812637568438
P0004,20240117095633,axi,1,1,-1.0063437700253695,0.00688893874159281
P0004,20240117095633,axi,1,2,-1.0160712346443812,0.008896781453143262
P0004,20240117095633,axi,2,0,-1.015842859465774,-0.02532812637568438
P0004,20240117095633,axi,2,1,-1.00708172888075,0.006390894002046819
P0004,20240117095633,axi,2,2,-1.0312623209269345,0.01873123912258656
P0004,20240118081140,sag,,0,-0.9831535266317575,0.007162324271552275
P0004,20240118081140,cor,,0,-1.003617263180597,-0.0009457314422867953
P0004,20240118081140,axi,1,0,-1.019034693110345,-0.021734131547996402
P0004,20240118081140,axi,1,1,-1.0160681182316882,0.010285209687814368
P0004,20240118081140,axi,1,2,-1.0189628804128181,0.003166351954303247
P0004,20240118081140,axi,2,0,-1.019344867876617,-0.018807333529115178
P0004,20240118081140,axi,2,1,-1.01287537157759,0.007052714630419277
P0004,20240118081140,axi,2,2,-1.0159798811376326,0.009924832667116775
P0004,20240119083620,sag,,0,-0.9814680608725335,0.002030828398313516
P0004,20240119083620,cor,,0,-1.0108860450478558,0.007238656840916501
P0004,20240119083620,axi,1,0,-1.0239253806848987,-0.021041040144578915
P0004,20240119083620,axi,1,1,-1.0109663233522632,-0.010830660073626444
P0004,20240119083620,axi,1,2,-1.0275829760758661,0.01483257358485612
P0004,20240119083620,axi,2,0,-1.020996138034875,-0.021281157463915103
P0004,20240119083620,axi,2,1,-1.0140200441035498,-0.013931260034859654
P0004,20240119083620,axi,2,2,-1.0296482889561054,0.015158647839612929
P0004,20240226100203,sag,,0,-0.978419350570494,0.005890612964552126
P0004,20240226100203,cor,,0,-1.0119495829465317,0.004763656685178433
P0004,20240226100203,axi,1,0,-1.0254871278916637,-0.01148642514590506
P0004,20240226100203,axi,1,1,-1.0128936574028171,-0.012789783365137284
P0004,20240226100203,axi,1,2,-1.0227424307514958,0.023039332918142773
P0004,20240226100203,axi,2,0,-1.019669195493751,-0.013806116817322873
P0004,20240226100203,axi,2,1,-1.0109663233522632,-0.010830660073626444
P0004,20240226100203,axi,2,2,-1.0256920105460101,0.010186307818305217
P0004,20240227075502,sag,,0,-0.9739308675589377,0.0063548153686303534
P0004,20240227075502,cor,,0,-1.0120918857808185,0.0010755141775302228
P0004,20240227075502,axi,1,0,-1.0181479397605913,-0.01807024332342666
P0004,20240227075502,axi,1,1,-1.0064298407148198,0.004254378825515778
P0004,20240227075502,axi,1,2,-1.0217050923655076,0.017146110946177892
P0004,20240227075502,axi,2,0,-1.0181479397605913,-0.01807024332342666
P0004,20240227075502,axi,2,1,-1.0059141944390568,0.00042356306368300164
P0004,20240227075502,axi,2,2,-1.0241445798019326,0.01855814745541349
P0004,20240229082002,sag,,0,-0.9761300147051256,0.007470347958913068
P0004,20240229082002,cor,,0,-1.011916874435236,0.007491728657857343
P0004,20240229082002,axi,1,0,-1.0140566815052807,-0.01600004918873308
P0004,20240229082002,axi,1,1,-1.0109663233522632,-0.010830660073626444
P0004,20240229082002,axi,1,2,-1.0321065830500546,0.01932643451137313
P0004,20240229082002,axi,2,0,-1.0195288460251006,-0.011123717721499844
P0004,20240229082002,axi,2,1,-1.0160925060061357,-0.011862504123844871
P0004,20240229082002,axi,2,2,-1.0261976569897988,0.020707067526028418
P0007,20231107095915,sag,,0,-0.9741957449734205,0.010661006600363829
P0007,20231107095915,cor,,0,-1.017119760244727,-0.00042065361348539443
P0007,20231107095915,axi,1,0,-1.050884263991869,1.3877787807814457e-17
P0007,20231107095915,axi,1,1,-1.017604127613917,-0.015991990890114716
P0007,20231107095915,axi,1,2,-1.0170921245254378,6.938893903907228e-18
P0007,20231107095915,axi,2,0,-1.050884263991869,1.3877787807814457e-17
P0007,20231107095915,axi,2,1,-1.017604127613917,-0.015991990890114716
P0007,20231107095915,axi,2,2,-1.0170921245254378,6.938893903907228e-18
P0007,20231107101500,sag,,0,-0.9770196773336202,0.0028659275126218277
P0007,20231107101500,cor,,0,-1.0137784674785062,0.0030314754382143178
P0007,20231107101500,axi,1,0,-1.050884263991869,1.3877787807814457e-17
P0007,20231107101500,axi,1,1,-1.017604127613917,-0.015991990890114716
P0007,20231107101500,axi,1,2,-1.0170921245254378,6.938893903907228e-18
P0007,20231107101500,axi,2,0,-1.050884263991869,1.3877787807814457e-17
P0007,20231107101500,axi,2,1,-1.017604127613917,-0.015991990890114716
P0007,20231107101500,axi,2,2,-1.0170921245254378,6.938893903907228e-18
P0008,20231101135602,sag,,0,-0.963557499693522,0.005043155153869966
P0008,20231101135602,cor,,0,-1.010576353832919,-0.005472890556070094
P0008,20231101135602,axi,1,0,-0.9999400528580944,-0.016000049344811133
P0008,20231101135602,axi,1,1,-0.9999400528597328,-0.016000049240759255
P0008,20231101135602,axi,1,2,-0.9840679885294321,0.01600004732608809
P0008,20231101135602,axi,2,0,-0.9999400528580944,-0.016000049344811133
P0008,20231101135602,axi,2,1,-0.9999400528597328,-0.016000049240759255
P0008,20231101135602,axi,2,2,-0.9840679885294321,0.01600004732608809
P0008,20231101140743,sag,,0,-0.9649118691880274,0.0036750159804663125
P0008,20231101140743,cor,,0,-1.009232232532408,-0.0047702467468407166
P0008,20231101140743,axi,1,0,-0.9999400528580944,-0.016000049344811133
P0008,20231101140743,axi,1,1,-0.9999400528597328,-0.016000049240759255
P0008,20231101140743,axi,1,2,-0.9840679885294321,0.01600004732608809
P0008,20231101140743,axi,2,0,-0.9999400528580944,-0.016000049344811133
P0008,20231101140743,axi,2,1,-0.9999400528597328,-0.016000049240759255
P0008,20231101140743,axi,2,2,-0.9840679885294321,0.01600004732608809
P0008,20231101141503,sag,,0,-0.963557499693522,0.005043155153869966
P0008,20231101141503,cor,,0,-1.00980219750178,-0.005345501502384577
P0008,20231101141503,axi,1,0,-0.9999400528580944,-0.016000049344811133
P0008,20231101141503,axi,1,1,-0.9999400528597328,-0.016000049240759255
P0008,20231101141503,axi,1,2,-0.9840679885294321,0.01600004732608809
P0008,20231101141503,axi,2,0,-0.9999400528580944,-0.016000049344811133
P0008,20231101141503,axi,2,1,-0.9999400528597328,-0.016000049240759255
P0008,20231101141503,axi,2,2,-0.9840679885294321,0.01600004732608809
P0008,20231101142916,sag,,0,-0.963557499693522,0.005043155153869966
